home_team,away_team,home_score,away_score,year,winner
Saint Vincent and the Grenadines,Saint Lucia,1,2,2018,Saint Lucia
Antigua and Barbuda,Curaçao,3,0,2018,Antigua and Barbuda
Bermuda,Barbados,3,2,2018,Bermuda
Guyana,Suriname,6,1,2018,Guyana
Saint Kitts and Nevis,U.S. Virgin Islands,7,0,2018,Saint Kitts and Nevis
Trinidad and Tobago,Grenada,13,0,2018,Trinidad and Tobago
Curaçao,Saint Vincent and the Grenadines,1,0,2018,Curaçao
Antigua and Barbuda,Saint Lucia,1,0,2018,Antigua and Barbuda
Suriname,Bermuda,0,1,2018,Bermuda
Guyana,Barbados,0,0,2018,draw
Nigeria,Gambia,6,0,2018,Nigeria
Wales,Bosnia and Herzegovina,1,0,2018,Wales
Scotland,Belarus,2,1,2018,Scotland
Sweden,Croatia,4,0,2018,Sweden
Faroe Islands,Slovenia,0,4,2018,Slovenia
Spain,Israel,2,0,2018,Spain
United States,China PR,1,0,2018,United States
Russia,England,1,3,2018,England
Republic of Ireland,Norway,0,2,2018,Norway
Northern Ireland,Netherlands,0,5,2018,Netherlands
Ukraine,Denmark,1,5,2018,Denmark
Italy,Portugal,3,0,2018,Italy
Finland,Austria,0,2,2018,Austria
Moldova,Belgium,0,7,2018,Belgium
Iceland,Slovenia,2,0,2018,Iceland
Bosnia and Herzegovina,Kazakhstan,0,2,2018,Kazakhstan
Wales,Russia,3,0,2018,Wales
Poland,Scotland,2,3,2018,Scotland
Belarus,Switzerland,0,5,2018,Switzerland
Norway,Republic of Ireland,1,0,2018,Norway
Netherlands,Slovakia,1,0,2018,Netherlands
Denmark,Hungary,5,1,2018,Denmark
Ukraine,Sweden,1,0,2018,Ukraine
Czech Republic,Faroe Islands,4,1,2018,Czech Republic
Romania,Portugal,1,1,2018,draw
Serbia,Finland,0,2,2018,Finland
Israel,Austria,0,6,2018,Austria
United States,China PR,2,1,2018,United States
American Samoa,Solomon Islands,0,2,2018,Solomon Islands
Fiji,Vanuatu,5,1,2018,Fiji
Cuba,Trinidad and Tobago,2,3,2018,Trinidad and Tobago
Jamaica,Antigua and Barbuda,9,0,2018,Jamaica
Vanuatu,American Samoa,1,0,2018,Vanuatu
Fiji,Solomon Islands,0,0,2018,draw
Panama,Nicaragua,4,0,2018,Panama
Costa Rica,El Salvador,11,0,2018,Costa Rica
Antigua and Barbuda,Cuba,0,7,2018,Cuba
Jamaica,Bermuda,4,0,2018,Jamaica
Costa Rica,Nicaragua,4,1,2018,Costa Rica
El Salvador,Panama,2,6,2018,Panama
Trinidad and Tobago,Antigua and Barbuda,5,0,2018,Trinidad and Tobago
Cuba,Bermuda,2,0,2018,Cuba
Solomon Islands,Vanuatu,0,1,2018,Vanuatu
Fiji,American Samoa,2,0,2018,Fiji
Russia,Kazakhstan,3,0,2018,Russia
Scotland,Switzerland,2,1,2018,Scotland
Sweden,Ukraine,3,0,2018,Sweden
Denmark,Croatia,1,1,2018,draw
Moldova,Portugal,0,7,2018,Portugal
El Salvador,Nicaragua,2,2,2018,draw
Costa Rica,Panama,3,1,2018,Costa Rica
Antigua and Barbuda,Bermuda,0,5,2018,Bermuda
Jamaica,Trinidad and Tobago,4,1,2018,Jamaica
Wales,England,0,3,2018,England
Belarus,Poland,1,4,2018,Poland
Republic of Ireland,Northern Ireland,4,0,2018,Republic of Ireland
Slovakia,Norway,0,4,2018,Norway
Czech Republic,Slovenia,2,0,2018,Czech Republic
Romania,Belgium,0,1,2018,Belgium
Spain,Finland,5,1,2018,Spain
United States,Chile,3,0,2018,United States
Iceland,Germany,0,2,2018,Germany
Bermuda,Trinidad and Tobago,0,3,2018,Trinidad and Tobago
Jamaica,Cuba,6,1,2018,Jamaica
Russia,Bosnia and Herzegovina,3,0,2018,Russia
Kazakhstan,England,0,6,2018,England
Poland,Switzerland,0,0,2018,draw
Albania,Scotland,1,2,2018,Scotland
Norway,Netherlands,2,1,2018,Norway
Northern Ireland,Slovakia,0,1,2018,Slovakia
Denmark,Sweden,0,1,2018,Sweden
Ukraine,Hungary,2,0,2018,Ukraine
Iceland,Czech Republic,1,1,2018,draw
Faroe Islands,Germany,0,8,2018,Germany
Belgium,Italy,2,1,2018,Belgium
Portugal,Romania,5,1,2018,Portugal
Austria,Finland,4,1,2018,Austria
Spain,Serbia,3,0,2018,Spain
United States,Chile,4,0,2018,United States
Trinidad and Tobago,Panama,0,3,2018,Panama
United States,Mexico,6,0,2018,United States
Puerto Rico,Anguilla,10,0,2018,Puerto Rico
Dominican Republic,Cuba,1,5,2018,Cuba
Costa Rica,Cuba,8,0,2018,Costa Rica
Canada,Jamaica,2,0,2018,Canada
Netherlands,Denmark,2,0,2018,Netherlands
Belgium,Switzerland,2,2,2018,draw
United States,Panama,5,0,2018,United States
Mexico,Trinidad and Tobago,4,1,2018,Mexico
Jamaica,Costa Rica,1,0,2018,Jamaica
Cuba,Canada,0,12,2018,Canada
Denmark,Netherlands,1,2,2018,Netherlands
Switzerland,Belgium,1,1,2018,draw
Panama,Mexico,2,0,2018,Panama
United States,Trinidad and Tobago,7,0,2018,United States
Cuba,Jamaica,0,9,2018,Jamaica
Costa Rica,Canada,1,3,2018,Canada
Panama,Canada,0,7,2018,Canada
United States,Jamaica,6,0,2018,United States
Panama,Jamaica,2,2,2018,draw
United States,Canada,2,0,2018,United States
Portugal,United States,0,1,2018,United States
Argentina,Panama,4,0,2018,Argentina
Netherlands,Switzerland,3,0,2018,Netherlands
Switzerland,Netherlands,1,1,2018,draw
Panama,Argentina,1,1,2018,draw
Scotland,United States,0,1,2018,United States
Ghana,Algeria,1,0,2018,Ghana
Mali,Cameroon,1,2,2018,Cameroon
Nigeria,South Africa,0,1,2018,South Africa
Zambia,Equatorial Guinea,5,0,2018,Zambia
Samoa,Papua New Guinea,0,5,2018,Papua New Guinea
New Caledonia,Tahiti,4,2,2018,New Caledonia
Samoa,Papua New Guinea,0,5,2018,Papua New Guinea
New Caledonia,Tahiti,4,2,2018,New Caledonia
New Zealand,Tonga,11,0,2018,New Zealand
Cook Islands,Fiji,0,3,2018,Fiji
New Zealand,Tonga,11,0,2018,New Zealand
Cook Islands,Fiji,0,3,2018,Fiji
Ghana,Mali,1,2,2018,Mali
Cameroon,Algeria,3,0,2018,Cameroon
Nigeria,Zambia,4,0,2018,Nigeria
Equatorial Guinea,South Africa,1,7,2018,South Africa
Tahiti,Samoa,5,5,2018,draw
New Caledonia,Papua New Guinea,2,6,2018,Papua New Guinea
Tahiti,Samoa,5,5,2018,draw
New Caledonia,Papua New Guinea,2,6,2018,Papua New Guinea
Tonga,Fiji,0,12,2018,Fiji
New Zealand,Cook Islands,6,0,2018,New Zealand
Tonga,Fiji,0,12,2018,Fiji
New Zealand,Cook Islands,6,0,2018,New Zealand
Ghana,Cameroon,1,1,2018,draw
Algeria,Mali,2,3,2018,Mali
Equatorial Guinea,Nigeria,0,6,2018,Nigeria
South Africa,Zambia,1,1,2018,draw
Papua New Guinea,Tahiti,3,1,2018,Papua New Guinea
New Caledonia,Samoa,2,0,2018,New Caledonia
Papua New Guinea,Tahiti,3,1,2018,Papua New Guinea
New Caledonia,Samoa,2,0,2018,New Caledonia
Tonga,Cook Islands,1,0,2018,Tonga
Fiji,New Zealand,0,10,2018,New Zealand
Tonga,Cook Islands,1,0,2018,Tonga
Fiji,New Zealand,0,10,2018,New Zealand
Cameroon,Nigeria,0,0,2018,draw
South Africa,Mali,2,0,2018,South Africa
Papua New Guinea,Fiji,1,5,2018,Fiji
New Caledonia,New Zealand,0,8,2018,New Zealand
Papua New Guinea,Fiji,1,5,2018,Fiji
New Caledonia,New Zealand,0,8,2018,New Zealand
Cameroon,Mali,4,2,2018,Cameroon
Nigeria,South Africa,0,0,2018,draw
New Caledonia,Papua New Guinea,1,7,2018,Papua New Guinea
Fiji,New Zealand,0,8,2018,New Zealand
New Caledonia,Papua New Guinea,1,7,2018,Papua New Guinea
Fiji,New Zealand,0,8,2018,New Zealand
South Korea,Romania,3,0,2019,South Korea
China PR,Nigeria,3,0,2019,China PR
France,United States,3,1,2019,France
Romania,Nigeria,1,4,2019,Nigeria
China PR,South Korea,1,0,2019,China PR
Spain,United States,0,1,2019,United States
Canada,Iceland,0,0,2019,draw
Spain,Netherlands,2,0,2019,Spain
Norway,Denmark,2,1,2019,Norway
Sweden,Switzerland,4,1,2019,Sweden
United States,Japan,2,2,2019,draw
England,Brazil,2,1,2019,England
Scotland,Canada,0,1,2019,Canada
Poland,Spain,3,0,2019,Poland
China PR,Norway,1,3,2019,Norway
Portugal,Sweden,2,1,2019,Portugal
Brazil,Japan,1,3,2019,Japan
United States,England,2,2,2019,draw
Iceland,Scotland,1,4,2019,Scotland
Netherlands,Poland,0,1,2019,Poland
Denmark,China PR,1,0,2019,Denmark
Portugal,Switzerland,1,3,2019,Switzerland
Japan,England,0,3,2019,England
United States,Brazil,1,0,2019,United States
China PR,Netherlands,1,1,2019,draw
Portugal,Iceland,1,4,2019,Iceland
Switzerland,Spain,0,2,2019,Spain
Scotland,Denmark,1,0,2019,Scotland
Canada,Sweden,0,0,2019,draw
Poland,Norway,0,3,2019,Norway
United States,Australia,5,3,2019,United States
United States,Belgium,6,0,2019,United States
United States,South Africa,3,0,2019,United States
United States,New Zealand,5,0,2019,United States
United States,Mexico,3,0,2019,United States
France,South Korea,4,0,2019,France
Norway,Nigeria,3,0,2019,Norway
Germany,China PR,1,0,2019,Germany
Spain,South Africa,3,1,2019,Spain
Australia,Italy,1,2,2019,Italy
Brazil,Jamaica,3,0,2019,Brazil
England,Scotland,2,1,2019,England
Argentina,Japan,0,0,2019,draw
Canada,Cameroon,1,0,2019,Canada
New Zealand,Netherlands,0,1,2019,Netherlands
Chile,Sweden,0,2,2019,Sweden
United States,Thailand,13,0,2019,United States
Nigeria,South Korea,2,0,2019,Nigeria
France,Norway,2,1,2019,France
Germany,Spain,1,0,2019,Germany
South Africa,China PR,0,1,2019,China PR
Australia,Brazil,3,2,2019,Australia
Jamaica,Italy,0,5,2019,Italy
Japan,Scotland,2,1,2019,Japan
England,Argentina,1,0,2019,England
Netherlands,Cameroon,3,1,2019,Netherlands
Canada,New Zealand,2,0,2019,Canada
Sweden,Thailand,5,1,2019,Sweden
United States,Chile,3,0,2019,United States
France,Nigeria,1,0,2019,France
South Korea,Norway,1,2,2019,Norway
South Africa,Germany,0,4,2019,Germany
China PR,Spain,0,0,2019,draw
Jamaica,Australia,1,4,2019,Australia
Italy,Brazil,0,1,2019,Brazil
Japan,England,0,2,2019,England
Scotland,Argentina,3,3,2019,draw
Netherlands,Canada,2,1,2019,Netherlands
Cameroon,New Zealand,2,1,2019,Cameroon
Sweden,United States,0,2,2019,United States
Thailand,Chile,0,2,2019,Chile
Germany,Nigeria,3,0,2019,Germany
Norway,Australia,1,1,2019,draw
England,Cameroon,3,0,2019,England
France,Brazil,2,1,2019,France
Spain,United States,1,2,2019,United States
Sweden,Canada,1,0,2019,Sweden
Italy,China PR,2,0,2019,Italy
Netherlands,Japan,2,1,2019,Netherlands
Norway,England,0,3,2019,England
France,United States,1,2,2019,United States
Italy,Netherlands,0,2,2019,Netherlands
Germany,Sweden,1,2,2019,Sweden
England,United States,1,2,2019,United States
Netherlands,Sweden,1,0,2019,Netherlands
England,Sweden,1,2,2019,Sweden
United States,Netherlands,2,0,2019,United States
United States,Republic of Ireland,3,0,2019,United States
United States,Portugal,4,0,2019,United States
United States,Portugal,3,0,2019,United States
United States,South Korea,2,0,2019,United States
United States,South Korea,1,1,2019,draw
United States,Sweden,3,2,2019,United States
United States,Costa Rica,6,0,2019,United States
United States,Haiti,4,0,2020,United States
United States,Panama,8,0,2020,United States
United States,Costa Rica,6,0,2020,United States
United States,Mexico,4,0,2020,United States
United States,Canada,3,0,2020,United States
France,Canada,1,0,2020,France
Netherlands,Brazil,0,0,2020,draw
Denmark,Norway,1,2,2020,Norway
Germany,Sweden,1,0,2020,Germany
New Zealand,Belgium,1,1,2020,draw
Portugal,Italy,1,2,2020,Italy
Spain,Japan,3,1,2020,Spain
United States,England,2,0,2020,United States
Canada,Netherlands,0,0,2020,draw
France,Brazil,1,0,2020,France
Sweden,Denmark,1,2,2020,Denmark
Portugal,Belgium,0,1,2020,Belgium
Germany,Norway,4,0,2020,Germany
New Zealand,Italy,0,3,2020,Italy
Portugal,Sweden,0,2,2020,Sweden
Japan,England,0,1,2020,England
United States,Spain,1,0,2020,United States
Brazil,Canada,2,2,2020,draw
France,Netherlands,3,3,2020,draw
Belgium,Denmark,0,4,2020,Denmark
New Zealand,Norway,1,2,2020,Norway
England,Spain,0,1,2020,Spain
United States,Japan,3,1,2020,United States
Netherlands,United States,0,2,2020,United States
United States,Colombia,4,0,2021,United States
United States,Colombia,6,0,2021,United States
United States,Canada,1,0,2021,United States
United States,Brazil,2,0,2021,United States
United States,Argentina,6,0,2021,United States
Argentina,Venezuela,0,0,2021,draw
Sweden,United States,1,1,2021,draw
Argentina,Venezuela,1,0,2021,Argentina
Basque Country,Argentina,1,0,2021,Basque Country
Basque Country,Venezuela,0,0,2021,draw
France,United States,0,2,2021,United States
Brazil,Netherlands,1,1,2022,draw
France,Finland,5,0,2022,France
Denmark,Italy,0,1,2022,Italy
Portugal,Norway,2,0,2022,Portugal
United States,Czech Republic,0,0,2022,draw
Iceland,New Zealand,1,0,2022,Iceland
France,Brazil,2,1,2022,France
Finland,Netherlands,0,3,2022,Netherlands
United States,New Zealand,5,0,2022,United States
Czech Republic,Iceland,1,2,2022,Iceland
Italy,Norway,2,1,2022,Italy
Portugal,Sweden,0,4,2022,Sweden
Brazil,Finland,0,0,2022,draw
France,Netherlands,3,1,2022,France
New Zealand,Czech Republic,0,0,2022,draw
United States,Iceland,5,0,2022,United States
Sweden,Italy,1,1,2022,draw
Portugal,Norway,0,2,2022,Norway
